league,name,hex,rgb,cmyk
epl,Manchester United,"['DA020E', 'FFE500', '000000']","['218 2 14', '255 229 0', '0 0 0']","['0.0 99.08256880733946 93.57798165137613 0.14509803921568631', '0.0 10.196078431372547 100.0 0.0', '0 0 0 0']"
epl,Middlesbrough,"['FF0000', '000000']","['255 0 0', '0 0 0']","['0.0 100.0 100.0 0.0', '0 0 0 0']"
epl,Southampton,"['ED1A3B', '211E1F', 'FFC20E']","['237 26 59', '33 30 31', '255 194 14']","['0.0 89.0295358649789 75.10548523206751 0.07058823529411762', '0.0 9.09090909090906 6.06060606060604 0.8705882352941177', '0.0 23.921568627450984 94.50980392156862 0.0']"
epl,Stoke City,"['E03A3E', '1B449C']","['224 58 62', '27 68 156']","['0.0 74.10714285714286 72.32142857142857 0.1215686274509804', '82.6923076923077 56.41025641025642 0.0 0.388235294117647']"
epl,Sunderland,"['EB172B', 'A68A26', '211E1E']","['235 23 43', '166 138 38', '33 30 30']","['0.0 90.2127659574468 81.70212765957446 0.07843137254901966', '0.0 16.86746987951808 77.10843373493975 0.34901960784313724', '0.0 9.09090909090906 9.09090909090906 0.8705882352941177']"
epl,Swansea City,['000000'],['0 0 0'],['0 0 0 0']
epl,Tottenham Hotspur,['001C58'],['0 28 88'],['100.0 68.18181818181816 0.0 0.6549019607843137']
epl,Watford,"['FBEE23', 'ED2127', '000000']","['251 238 35', '237 33 39', '0 0 0']","['0.0 5.17928286852589 86.05577689243027 0.015686274509803977', '0.0 86.07594936708861 83.54430379746836 0.07058823529411762', '0 0 0 0']"
epl,West Bromwich Albion,['091453'],['9 20 83'],['89.1566265060241 75.90361445783134 0.0 0.6745098039215687']
epl,West Ham United,"['60223B', 'F7C240', '5299C6']","['96 34 59', '247 194 64', '82 153 198']","['0.0 64.58333333333334 38.54166666666664 0.6235294117647059', '0.0 21.457489878542514 74.08906882591093 0.03137254901960784', '58.58585858585859 22.727272727272734 0.0 0.22352941176470587']"
mlb,Arizona Diamondbacks,"['A71930', '000000', 'E3D4AD']","['167 25 48', '0 0 0', '227 212 173']","['0.0 85.02994011976048 71.25748502994011 0.34509803921568627', '0 0 0 0', '0.0 6.607929515418491 23.7885462555066 0.1098039215686275']"
mlb,Atlanta Braves,"['CE1141', '13274F']","['206 17 65', '19 39 79']","['0.0 91.74757281553399 68.44660194174757 0.19215686274509802', '75.94936708860762 50.632911392405056 0.0 0.6901960784313725']"
mlb,Baltimore Orioles,"['DF4601', '000000']","['223 70 1', '0 0 0']","['0.0 68.60986547085201 99.55156950672645 0.12549019607843137', '0 0 0 0']"
mlb,Boston Red Sox,"['BD3039', '0D2B56']","['189 48 57', '13 43 86']","['0.0 74.60317460317461 69.84126984126985 0.2588235294117647', '84.88372093023254 49.999999999999986 0.0 0.6627450980392157']"
mlb,Chicago Cubs,"['CC3433', '0E3386']","['204 52 51', '14 51 134']","['0.0 74.50980392156865 75.00000000000001 0.19999999999999996', '89.55223880597015 61.9402985074627 0.0 0.4745098039215686']"
mlb,Chicago White Sox,"['000000', 'C4CED4']","['0 0 0', '196 206 212']","['0 0 0 0', '7.547169811320755 2.8301886792452864 0.0 0.1686274509803921']"
mlb,Cincinnati Reds,"['C6011F', '000000']","['198 1 31', '0 0 0']","['0.0 99.4949494949495 84.34343434343434 0.22352941176470587', '0 0 0 0']"
mlb,Colorado Rockies,"['333366', '231F20', 'C4CED4']","['51 51 102', '35 31 32', '196 206 212']","['50.000000000000014 50.000000000000014 0.0 0.6', '0.0 11.428571428571392 8.571428571428545 0.8627450980392157', '7.547169811320755 2.8301886792452864 0.0 0.1686274509803921']"
mlb,Cleveland Indians,"['E31937', '002B5C']","['227 25 55', '0 43 92']","['0.0 88.98678414096916 75.77092511013215 0.1098039215686275', '100.0 53.260869565217384 0.0 0.6392156862745098']"
mlb,Detroit Tigers,['0C2C56'],['12 44 86'],['86.04651162790697 48.83720930232557 0.0 0.6627450980392157']
mlb,Houston Astros,"['002D62', 'EB6E1F']","['0 45 98', '235 110 31']","['100.0 54.081632653061206 0.0 0.615686274509804', '0.0 53.191489361702125 86.80851063829788 0.07843137254901966']"
mlb,Kansas City Royals,"['004687', 'C09A5B']","['0 70 135', '192 154 91']","['100.0 48.148148148148145 0.0 0.47058823529411764', '0.0 19.79166666666667 52.604166666666664 0.24705882352941178']"
mlb,Los Angeles Angels of Anaheim,"['BA0021', '003263']","['186 0 33', '0 50 99']","['0.0 100.0 82.25806451612904 0.2705882352941177', '100.0 49.494949494949495 0.0 0.611764705882353']"
mlb,Los Angeles Dodgers,"['EF3E42', '005A9C']","['239 62 66', '0 90 156']","['0.0 74.05857740585773 72.38493723849373 0.06274509803921569', '100.0 42.3076923076923 0.0 0.388235294117647']"
mlb,Miami Marlins,"['FF6600', '0077C8', 'FFD100', '000000']","['255 102 0', '0 119 200', '255 209 0', '0 0 0']","['0.0 60.0 100.0 0.0', '100.0 40.5 0.0 0.21568627450980393', '0.0 18.039215686274513 100.0 0.0', '0 0 0 0']"
mlb,Milwaukee Brewers,"['0A2351', 'B6922E']","['10 35 81', '182 146 46']","['87.65432098765433 56.790123456790134 0.0 0.6823529411764706', '0.0 19.780219780219788 74.72527472527473 0.28627450980392155']"
mlb,Minnesota Twins,"['002B5C', 'D31145']","['0 43 92', '211 17 69']","['100.0 53.260869565217384 0.0 0.6392156862745098', '0.0 91.94312796208531 67.29857819905214 0.1725490196078432']"
mlb,New York Mets,"['FF5910', '002D72']","['255 89 16', '0 45 114']","['0.0 65.09803921568627 93.72549019607843 0.0', '100.0 60.52631578947367 0.0 0.5529411764705883']"
